state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,15039,21605,18218,26363,0.410408252374195,0.40864942464278503,-1,-1,0.0
1,2,-1,23757,29058,24679,36832,0.44981539335416076,0.4012127912080766,-1,-1,0.0
1,3,0,8833,12391,9718,15541,0.41617979645684133,0.38473415416287265,-1,-1,1.0
1,4,-1,18969,26484,20760,31822,0.417332189294436,0.3948119128218782,-1,-1,0.0
1,98,-1,67747,88115,75212,108918,0.43466014807971154,0.40847227502308153,-1,-1,0.0
2,1,-1,15254,16903,13320,18301,0.47436017041390677,0.42123904999841877,-1,-1,0.0
2,2,-1,17346,18708,13785,19176,0.4811116658345815,0.41822153454082095,-1,-1,0.0
2,3,-1,14891,16682,11678,18541,0.4716371583314858,0.38644561368675334,-1,-1,0.0
2,4,-1,13705,17279,11600,20501,0.44232507100438934,0.3613594592068783,-1,-1,0.0
3,1,-1,9528,15622,11117,17217,0.3788469184890656,0.39235547398884735,-1,-1,0.0
3,2,-1,8412,15873,7992,17611,0.3463866584311303,0.31215091981408427,-1,-1,0.0
3,3,0,10415,15686,10617,17796,0.3990268572085361,0.37366698342308097,-1,-1,1.0
3,5,-1,12881,15778,12657,16287,0.4494574130290659,0.4372927031509121,-1,-1,0.0
3,6,-1,14055,18390,8880,18157,0.4331946370781322,0.32843880608055626,-1,-1,0.0
3,7,-1,9816,21752,10165,20821,0.3109477952356817,0.32805137804169626,-1,-1,0.0
3,9,1,15997,6256,17003,6895,0.7188693659281895,0.7114821323960164,1,1,0.0
3,10,0,18979,14621,19211,12740,0.5648511904761905,0.601264436167882,1,1,1.0
3,11,0,18099,14670,18045,15990,0.5523207909914859,0.5301895107977083,1,1,1.0
3,12,-1,10591,18948,10813,19312,0.3585429432275974,0.35893775933609956,-1,-1,0.0
3,13,-1,6603,14236,8064,13631,0.31685781467440854,0.37169854805254665,-1,-1,0.0
3,14,-1,6815,18002,7100,18415,0.2746101462707015,0.2782676856750931,-1,-1,0.0
4,1,-1,15601,22701,16866,25364,0.4073155448801629,0.3993843239403268,-1,-1,0.0
4,2,-1,15669,23073,16462,26748,0.4044447886015177,0.3809766257810692,-1,-1,0.0
5,1,1,16846,16030,15583,15450,0.5124102688891593,0.5021428801598299,1,1,0.0
5,2,-1,14593,16979,13278,18212,0.46221335360445964,0.421657669101302,-1,-1,0.0
6,1,-1,8957,20660,8868,23208,0.3024276597899855,0.2764683875794987,-1,-1,0.0
6,2,-1,8157,20738,7066,23781,0.2822979754282748,0.22906603559503355,-1,-1,0.0
11,98,-1,17118,20210,19552,23512,0.4585833690527218,0.4540219208619729,-1,-1,0.0
12,1,-1,9308,20674,15365,26169,0.3104529384297245,0.3699378822169789,-1,-1,0.0
12,2,-1,8921,19637,13035,26296,0.3123818194551439,0.33141796547252805,-1,-1,0.0
12,3,-1,16638,20472,17862,24565,0.4483427647534357,0.4210054917858911,-1,-1,0.0
